State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,APC,LP,PDP,NNPP,APC (Av.),LP (Av.),PDP (Av.),NNPP (Av.),APC (Std Dv.),LP (Std Dv.),PDP (Std DV.),NNPP (Std Dv.),APC (Outlier),LP(Outlier),PDP (Outlier),NNPP (Outlier),APC (Outlier Category),LP(Outlier Category),PDP (Outlier Category),NNPP (Outlier Category)
ABIA,ABA NORTH,EZIAMA,01-01-01-001,RAILWAY QUARTERS - RAILWAY QUARTERS I,5.11639,7.36854,85,7,56,25,1,2.927,78.175,6.633,0.392,10.732,69.555,12.419,2.25,0.379569376,-0.318812986,1.478952807,0.270195689,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,EZIAMA,01-01-01-002,RAILWAY QUARTERS - RAILWAY QUARTERS II,5.11639,7.36854,90,0,0,0,0,2.925,78.184,6.626,0.392,10.734,69.567,12.416,2.25,-0.272502957,-1.123934048,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,EZIAMA,01-01-01-003,RAILWAY QUARTERS - RAILWAY QUARTERS III,5.11639,7.36854,105,0,0,0,0,2.926,78.215,6.629,0.392,10.736,69.564,12.418,2.251,-0.272561736,-1.123934048,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY - ABIA POLY I,5.11639,7.36854,138,0,0,0,0,2.927,78.247,6.631,0.392,10.738,69.56,12.419,2.251,-0.272620552,-1.123934048,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,5.11639,7.36854,71,0,71,0,0,2.928,78.278,6.634,0.392,10.74,69.556,12.421,2.252,-0.272679406,-0.103155559,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OSUSU I,01-01-03-002,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II,5.11639,7.36854,156,2,157,1,0,2.93,78.281,6.637,0.392,10.742,69.57,12.423,2.252,-0.08654556,1.133280357,-0.453605845,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OSUSU II,01-01-04-004,OSUSU SECONDARY SCHOOL  - SCHOOL PREMISES IV,5.11639,7.36854,297,2,287,7,0,2.93,78.249,6.639,0.393,10.744,69.566,12.425,2.253,-0.086563095,3.002311394,0.029533818,-0.174245009,Normal,Strong Outlier,Normal,Normal
ABIA,ABA NORTH,OSUSU II,01-01-04-014,BRIGHT WAY NURS. SCHOOL - SCHOOL PREMISES VII,5.11639,7.36854,144,0,138,1,2,2.93,78.165,6.639,0.393,10.746,69.454,12.427,2.253,-0.272699059,0.860114283,-0.453605845,0.714636388,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OSUSU II,01-01-04-016,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES I,5.11639,7.36854,173,2,157,1,0,2.932,78.141,6.641,0.392,10.748,69.458,12.429,2.253,-0.086674276,1.133280357,-0.453605845,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OSUSU II,01-01-04-018,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES III,5.11639,7.36854,165,2,157,1,0,2.932,78.11,6.643,0.392,10.75,69.453,12.431,2.254,-0.086691859,1.133280357,-0.453605845,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-003,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III,5.11639,7.36854,119,0,105,3,0,2.932,78.078,6.645,0.392,10.752,69.449,12.433,2.254,-0.272718839,0.385667943,-0.29255929,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-017,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V,5.11639,7.36854,142,0,138,2,0,2.933,78.067,6.647,0.393,10.754,69.461,12.436,2.255,-0.272777884,0.860114283,-0.373082567,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-019,EKWEREAZU TOWN HALL - TOWN HALL I,5.11639,7.36854,191,2,178,0,0,2.935,78.043,6.649,0.393,10.756,69.465,12.438,2.255,-0.086896962,1.435200756,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,URATTA,01-01-06-008,URATTA COUNCIL HALL  - HALL PREMISES VIII,5.11639,7.36854,102,1,98,3,0,2.935,78.002,6.651,0.393,10.758,69.45,12.44,2.255,-0.179866017,0.28502781,-0.29255929,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,URATTA,01-01-06-010,URATTA COUNCIL HALL  - HALL PREMISES X,5.11639,7.36854,97,0,96,0,0,2.936,77.994,6.653,0.393,10.76,69.463,12.442,2.256,-0.272836736,0.256273486,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,URATTA,01-01-06-017,URATTA COUNCIL HALL  - HALL PREMISES XVII,5.11639,7.36854,74,0,68,1,0,2.937,77.987,6.656,0.393,10.762,69.476,12.444,2.256,-0.272895905,-0.146287045,-0.453605845,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,URATTA,01-01-06-021,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV,5.11639,7.36854,68,3,57,0,0,2.938,77.991,6.658,0.393,10.764,69.49,12.446,2.257,0.005740499,-0.304435825,-0.534129122,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-010,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES X,5.11639,7.36854,85,1,83,1,0,2.938,78,6.661,0.394,10.767,69.502,12.447,2.257,-0.180017894,0.069370383,-0.453605845,-0.174245009,Normal,Normal,Normal,Normal
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-023,WATER TANK WATER TANK PREMISES VII,5.11639,7.36854,172,3,163,2,0,2.939,77.998,6.663,0.394,10.769,69.516,12.449,2.258,0.005667787,1.219543328,-0.373082567,-0.174245009,Normal,Normal,Normal,Normal
